cost_record_id,measured_at,model_id,parent_model_ids,downstream_model_ids,materialization,rebuild_strategy,schedule_expression_ist,schedule_timezone,average_runtime_seconds,p95_runtime_seconds,average_warehouse_credits,average_rebuild_cost_usd,monthly_rebuild_count,monthly_estimated_cost_usd,cost_source_type,rebuild_chain_id,overbuild_indicator,schedule_optimization_candidate,usage_risk_level,recommendation_confidence,owner_email,owner_team,data_classification
cost_0001,2026-07-16T10:30:00+05:30,stg_sample_orders,,int_sample_order_details|fct_sample_orders,view,full_refresh,cron: 0 5 * * * Asia/Kolkata (IST),Asia/Kolkata (IST),45,70,0.35,1.25,60,75,ESTIMATED,chain_sample_orders,false,false,LOW,MEDIUM,dummy_owner_orders@example.invalid,Synthetic Data Platform,SYNTHETIC_DUMMY_DATA
cost_0002,2026-07-16T10:30:00+05:30,stg_sample_customers,,dim_sample_customers,view,full_refresh,cron: 5 5 * * * Asia/Kolkata (IST),Asia/Kolkata (IST),38,55,0.25,0.9,60,54,ESTIMATED,chain_sample_customers,false,false,LOW,MEDIUM,dummy_owner_customer@example.invalid,Synthetic Data Platform,SYNTHETIC_DUMMY_DATA
cost_0003,2026-07-16T10:30:00+05:30,stg_sample_payments,,int_sample_order_details|fct_sample_refunds,view,full_refresh,cron: 10 5 * * * Asia/Kolkata (IST),Asia/Kolkata (IST),42,64,0.3,1.05,60,63,ESTIMATED,chain_sample_orders,false,false,LOW,MEDIUM,dummy_owner_payments@example.invalid,Synthetic Data Platform,SYNTHETIC_DUMMY_DATA
cost_0004,2026-07-16T10:30:00+05:30,int_sample_order_details,stg_sample_orders|stg_sample_payments,fct_sample_orders|rpt_sample_sales,incremental,incremental_merge,cron: */30 * * * * Asia/Kolkata (IST),Asia/Kolkata (IST),420,610,4.2,15.1,2880,43488,MEASURED,chain_sample_orders,true,true,MEDIUM,HIGH,dummy_owner_orders@example.invalid,Synthetic Analytics Engineering,SYNTHETIC_DUMMY_DATA
cost_0005,2026-07-16T10:30:00+05:30,fct_sample_orders,int_sample_order_details|dim_sample_customers,rpt_sample_sales,incremental,incremental_merge,cron: */30 * * * * Asia/Kolkata (IST),Asia/Kolkata (IST),900,1380,12.4,44,2880,126720,MEASURED,chain_sample_orders,true,true,HIGH,HIGH,dummy_owner_orders@example.invalid,Synthetic Analytics Engineering,SYNTHETIC_DUMMY_DATA
cost_0006,2026-07-16T10:30:00+05:30,dim_sample_customers,stg_sample_customers,fct_sample_orders|rpt_sample_sales,table,full_refresh,cron: 0 6 * * * Asia/Kolkata (IST),Asia/Kolkata (IST),240,360,1.6,5.8,60,348,MEASURED,chain_sample_customers,false,false,LOW,HIGH,dummy_owner_customer@example.invalid,Synthetic Analytics Engineering,SYNTHETIC_DUMMY_DATA
cost_0007,2026-07-16T10:30:00+05:30,rpt_sample_sales,fct_sample_orders|dim_sample_customers,dash_sample_sales_exec,table,full_refresh,cron: 30 6 * * * Asia/Kolkata (IST),Asia/Kolkata (IST),330,520,2.4,8.6,60,516,MEASURED,chain_sample_sales_reporting,false,false,LOW,HIGH,dummy_owner_sales@example.invalid,Synthetic BI Enablement,SYNTHETIC_DUMMY_DATA
cost_0008,2026-07-16T10:30:00+05:30,rpt_sample_inventory,dim_sample_calendar,dash_sample_inventory_ops,table,full_refresh,cron: 0 */2 * * * Asia/Kolkata (IST),Asia/Kolkata (IST),510,760,4.8,17.2,720,12384,MEASURED,chain_sample_inventory,true,true,MEDIUM,MEDIUM,dummy_owner_ops@example.invalid,Synthetic Operations Analytics,SYNTHETIC_DUMMY_DATA
cost_0009,2026-07-16T10:30:00+05:30,rpt_sample_finance_monthly,fct_sample_orders|dim_sample_calendar,dash_sample_finance_monthly,table,full_refresh,cron: 0 7 1 * * Asia/Kolkata (IST),Asia/Kolkata (IST),290,430,2,7.1,2,14.2,ESTIMATED,chain_sample_finance,false,false,LOW,HIGH,dummy_finance_owner@example.invalid,Synthetic Finance Controls,SYNTHETIC_DUMMY_DATA
cost_0010,2026-07-16T10:30:00+05:30,rpt_sample_experimental_churn,dim_sample_customers|fct_sample_orders,,table,full_refresh,cron: 0 */4 * * * Asia/Kolkata (IST),Asia/Kolkata (IST),480,690,4.1,14.7,360,5292,ESTIMATED,chain_sample_experiment,true,true,HIGH,MEDIUM,dummy_lab_owner@example.invalid,Synthetic Experiment Lab,SYNTHETIC_DUMMY_DATA
